Country,Critical_To_Total_Case_Ratio
"El Salvador",0.0266
"Turks and Caicos",0.0233
Belize,0.0233
Canada,0.0191
"Saint Martin",0.0189
"Sint Maarten",0.0188
Monaco,0.0160
Tanzania,0.0138
Moldova,0.0136
Angola,0.0135
Iran,0.0130
"Antigua and Barbuda",0.0109
"Hong Kong",0.0101
Namibia,0.0090
Ethiopia,0.0089
Mexico,0.0086
Uzbekistan,0.0081
Lebanon,0.0081
Romania,0.0079
Madagascar,0.0070
"Saudi Arabia",0.0067
"Diamond Princess",0.0056
Tunisia,0.0055
Argentina,0.0050
"Costa Rica",0.0049
Israel,0.0045
Réunion,0.0045
India,0.0044
Serbia,0.0044
Suriname,0.0043
Colombia,0.0042
Ecuador,0.0042
"Dominican Republic",0.0041
Cambodia,0.0041
Albania,0.0038
"Faeroe Islands",0.0038
Chile,0.0037
Iraq,0.0037
Guyana,0.0037
USA,0.0036
Bulgaria,0.0036
Paraguay,0.0036
Martinique,0.0036
Mongolia,0.0034
Peru,0.0031
Senegal,0.0031
Guinea,0.0031
Brazil,0.0029
Pakistan,0.0029
"French Guiana",0.0028
Lithuania,0.0028
Japan,0.0027
Greece,0.0027
Russia,0.0026
Australia,0.0026
Maldives,0.0026
Guinea-Bissau,0.0025
Turkey,0.0024
Jordan,0.0024
Kazakhstan,0.0023
Panama,0.0023
Oman,0.0022
Ukraine,0.0021
France,0.0020
Philippines,0.0020
Azerbaijan,0.0020
Togo,0.0020
Venezuela,0.0019
Kuwait,0.0018
Kenya,0.0018
Spain,0.0017
Algeria,0.0017
Cameroon,0.0017
Hungary,0.0017
Eswatini,0.0017
Poland,0.0015
Uruguay,0.0015
Gabon,0.0014
Cuba,0.0014
Luxembourg,0.0013
Croatia,0.0013
Bahamas,0.0013
Honduras,0.0012
Austria,0.0012
"S. Korea",0.0012
Botswana,0.0012
Germany,0.0011
Andorra,0.0011
"South Africa",0.0010
Bahrain,0.0010
Morocco,0.0010
Czechia,0.0010
Belgium,0.0009
Malawi,0.0009
Slovenia,0.0009
Bolivia,0.0008
Portugal,0.0008
Afghanistan,0.0008
Slovakia,0.0008
Qatar,0.0007
Mayotte,0.0007
Netherlands,0.0006
Kyrgyzstan,0.0006
Switzerland,0.0006
Somalia,0.0006
Sweden,0.0005
Mauritania,0.0005
Benin,0.0005
Egypt,0.0004
CAR,0.0004
"Sri Lanka",0.0004
"North Macedonia",0.0003
Norway,0.0003
Thailand,0.0003
UK,0.0002
Italy,0.0002
Nigeria,0.0002
Ghana,0.0002
Ireland,0.0002
Malaysia,0.0002
Guatemala,0.0001
Denmark,0.0001
Bangladesh,NULL
Indonesia,NULL
Belarus,NULL
UAE,NULL
Singapore,NULL
Armenia,NULL
Nepal,NULL
"Ivory Coast",NULL
Palestine,NULL
"Bosnia and Herzegovina",NULL
Sudan,NULL
DRC,NULL
Tajikistan,NULL
Haiti,NULL
Finland,NULL
Zambia,NULL
Djibouti,NULL
Libya,NULL
"Equatorial Guinea",NULL
Zimbabwe,NULL
Nicaragua,NULL
Congo,NULL
Montenegro,NULL
"Cabo Verde",NULL
Mali,NULL
"South Sudan",NULL
Estonia,NULL
Mozambique,NULL
Rwanda,NULL
Iceland,NULL
"Sierra Leone",NULL
Yemen,NULL
"New Zealand",NULL
Latvia,NULL
Liberia,NULL
Uganda,NULL
Cyprus,NULL
Georgia,NULL
"Burkina Faso",NULL
Niger,NULL
Syria,NULL
Jamaica,NULL
Malta,NULL
Chad,NULL
Gambia,NULL
"Sao Tome and Principe",NULL
Vietnam,NULL
Lesotho,NULL
"San Marino",NULL
"Channel Islands",NULL
Taiwan,NULL
Comoros,NULL
Burundi,NULL
Myanmar,NULL
Mauritius,NULL
"Isle of Man",NULL
Eritrea,NULL
Guadeloupe,NULL
Aruba,NULL
"Trinidad and Tobago",NULL
"Cayman Islands",NULL
Gibraltar,NULL
"Papua New Guinea",NULL
Bermuda,NULL
"Brunei ",NULL
Barbados,NULL
Seychelles,NULL
Bhutan,NULL
Liechtenstein,NULL
"French Polynesia",NULL
"St. Vincent Grenadines",NULL
Macao,NULL
Curaçao,NULL
Fiji,NULL
"Saint Lucia",NULL
Timor-Leste,NULL
Grenada,NULL
"New Caledonia",NULL
Laos,NULL
Dominica,NULL
"Saint Kitts and Nevis",NULL
Greenland,NULL
Montserrat,NULL
"Caribbean Netherlands",NULL
"Falkland Islands",NULL
"Vatican City",NULL
"Western Sahara",NULL
