Country,Recovery_Rate
Dominica,100
Grenada,100
"Holy See",100
Brunei,98
Djibouti,98
Iceland,98
Malaysia,97
Mauritius,97
"New Zealand",97
Qatar,97
Norway,96
Estonia,95
Laos,95
Malta,95
Taiwan*,95
Finland,94
Liechtenstein,94
"San Marino",94
Thailand,94
Comoros,93
Cuba,93
Greenland,93
Turkey,93
Chile,92
Denmark,92
Germany,92
"Saint Lucia",92
"South Korea",92
Bahrain,91
China,91
Niger,91
Belarus,90
Ireland,90
Monaco,90
Singapore,90
Switzerland,90
Andorra,89
Austria,89
Ghana,89
Guinea,89
Jordan,89
"United Arab Emirates",89
Chad,88
Pakistan,88
"Saint Kitts and Nevis",88
Bhutan,87
Iran,87
Uganda,87
Kuwait,86
Latvia,86
"Trinidad and Tobago",86
Barbados,85
Cameroon,85
"Sao Tome and Principe",85
Vietnam,85
"Burkina Faso",84
Jamaica,84
Burma,83
"Saudi Arabia",83
Slovenia,83
Tajikistan,83
Croatia,81
Georgia,81
Italy,81
Burundi,80
Cyprus,80
Lithuania,80
Tunisia,80
"Western Sahara",80
Morocco,79
Uruguay,79
Mexico,77
Mongolia,77
"Antigua and Barbuda",76
Azerbaijan,76
Brazil,76
Luxembourg,76
Maldives,76
Mali,76
Poland,76
"Sri Lanka",76
Hungary,75
Mauritania,75
"Saint Vincent and the Grenadines",75
Czechia,74
Oman,74
Russia,74
"Sierra Leone",74
Slovakia,74
Nepal,73
Eritrea,72
Guatemala,72
Nicaragua,72
Armenia,71
Japan,71
Moldova,70
Peru,70
Portugal,70
Afghanistan,69
Iraq,69
Togo,69
Algeria,67
"Cabo Verde",67
Fiji,67
"Cote d'Ivoire",66
Senegal,66
Cambodia,65
Gabon,65
Madagascar,65
"Congo (Kinshasa)",64
India,64
Kazakhstan,64
Kyrgyzstan,64
Paraguay,64
Suriname,62
Venezuela,62
Zambia,62
Australia,61
"South Africa",61
Benin,59
Haiti,59
Indonesia,58
Panama,57
Albania,56
Bangladesh,56
Romania,56
Liberia,55
Spain,55
Ukraine,55
Uzbekistan,55
Belize,54
Kosovo,54
"North Macedonia",54
Bulgaria,53
"El Salvador",52
Rwanda,52
Sudan,52
Colombia,51
"South Sudan",51
Yemen,49
Somalia,48
"Bosnia and Herzegovina",47
"Dominican Republic",47
Guyana,47
Malawi,45
Eswatini,44
Ethiopia,44
Kenya,44
Lebanon,44
Nigeria,44
Argentina,43
Ecuador,43
Israel,42
Guinea-Bissau,41
Egypt,38
France,37
Tanzania,36
"West Bank and Gaza",35
"Central African Republic",34
Seychelles,34
Greece,33
Philippines,32
US,31
Bolivia,30
Montenegro,28
"Equatorial Guinea",27
Belgium,26
"Congo (Brazzaville)",26
Angola,25
Lesotho,25
Bahamas,24
"Costa Rica",24
Gambia,20
Libya,20
Zimbabwe,20
"Papua New Guinea",18
Honduras,13
Botswana,9
Namibia,5
Netherlands,0
Timor-Leste,0
"United Kingdom",0
