week(Date),Confirmed_Cases
30,4290259
30,4233923
29,4178970
29,4112531
29,4038816
29,3970121
29,3899211
29,3834677
29,3773260
28,3711413
28,3647715
28,3576157
28,3498902
28,3431574
28,3364157
28,3304942
27,3245925
27,3185737
27,3117946
27,3054699
27,2996098
27,2936077
27,2891124
26,2841241
26,2795361
26,2742049
26,2687588
26,2636414
26,2590668
26,2549864
25,2510259
25,2467554
30,2442375
25,2422299
30,2419091
29,2394513
25,2382426
25,2347491
29,2343366
25,2312303
29,2287475
25,2281767
24,2255328
29,2227514
24,2222579
24,2191099
24,2163290
29,2159654
24,2137731
29,2118646
24,2114026
29,2098389
24,2094366
28,2074860
23,2074542
23,2048986
28,2046328
23,2023656
28,2012151
23,2000706
23,1979912
28,1966748
23,1961785
23,1944370
28,1926824
22,1926639
22,1903907
28,1884967
22,1878683
28,1864681
22,1857332
27,1839850
22,1837374
22,1816479
27,1800827
22,1799124
21,1779214
27,1755779
21,1754764
21,1730260
27,1713160
21,1707445
21,1689163
21,1670280
27,1668589
21,1651289
20,1630476
27,1623284
20,1608653
27,1603055
20,1584512
26,1577004
20,1559157
26,1539081
20,1535350
20,1514901
26,1496858
20,1493132
30,1480073
19,1474128
19,1449027
26,1448753
30,1435616
19,1423727
26,1402041
19,1396110
29,1385635
19,1375152
26,1368195
19,1352962
26,1344143
29,1337024
19,1334084
18,1314320
25,1313667
18,1288587
29,1288108
25,1274974
18,1261409
29,1238798
18,1233527
25,1228114
18,1208271
29,1193078
25,1188631
18,1184086
18,1161611
29,1155338
25,1145906
17,1136024
29,1118206
17,1106829
25,1106470
25,1083341
28,1077781
17,1072667
24,1067579
17,1043038
28,1039084
24,1032913
17,1015518
28,1003832
17,990983
24,978142
28,968857
17,968518
24,955377
16,940829
28,936181
24,923189
16,907908
28,906752
24,888271
28,878254
16,871617
24,867624
23,850514
27,849522
16,837422
23,828810
27,820916
30,816680
30,811073
16,809318
29,805332
23,802828
29,799499
27,793802
29,793720
29,787890
16,783716
29,782040
29,776212
23,772416
29,770311
27,767296
28,764215
28,758001
16,756375
28,751612
28,745197
27,742417
23,739503
28,738787
28,732547
15,730337
28,726036
27,719664
27,719449
27,712863
23,707412
27,706240
15,701996
27,699749
27,697413
27,693215
23,691758
27,686852
27,680283
26,673564
26,673165
22,672846
15,669272
26,666941
26,660231
26,653479
26,648315
26,646929
22,645771
26,640246
15,637974
26,633563
25,626779
26,625544
25,619936
22,614941
25,613148
15,608878
25,606043
26,604641
25,598878
25,591465
26,585481
22,584016
25,583879
15,581813
24,576162
24,568292
26,566840
24,560321
15,556522
22,555383
24,552549
26,548318
24,544725
24,536484
25,528859
24,528267
14,527969
22,526447
23,519458
22,514849
23,510761
25,508953
23,501800
21,498440
14,497943
23,493023
25,490401
23,484630
23,476043
25,473105
23,467073
21,465166
14,464442
22,458102
25,456183
30,452529
22,449256
30,445433
22,440538
25,440215
21,438238
29,434200
22,431715
14,429686
25,425282
22,423186
29,421996
22,414328
21,411821
24,410451
29,408052
22,405843
14,397992
21,396575
30,395489
24,395048
29,394948
21,391222
30,390516
30,389717
21,387623
29,385036
29,381798
24,380532
21,379051
29,378285
30,375961
29,375961
29,375961
21,374898
29,373628
29,371096
29,370712
21,370680
14,367215
24,366946
29,366550
29,364328
21,363211
21,362342
29,362274
29,362087
29,357681
29,356255
24,354065
29,353590
21,353427
28,350879
28,349500
29,349396
30,347923
20,347398
30,345790
28,345537
21,344481
29,344224
29,343592
24,343091
28,341586
29,341304
28,338913
29,338759
28,337751
28,337594
14,337573
29,336402
20,335882
29,334683
28,333867
29,333029
24,332424
28,331298
29,330930
20,330890
28,330123
28,328846
20,326448
28,326439
28,326326
28,324221
28,324041
28,323698
27,322710
28,321205
23,320922
27,319646
28,319493
28,317657
28,317635
20,317554
27,316448
28,315041
27,312911
27,312029
28,311486
28,311049
20,310087
13,309699
27,309278
27,309274
23,308993
20,308705
27,306216
27,305703
28,304435
27,303083
27,302718
30,301708
30,301020
27,301019
29,300270
20,299941
28,299750
29,299500
26,299080
29,298731
27,298557
28,298292
29,297952
23,297535
29,297389
29,296944
29,296358
28,295632
26,295599
27,295532
27,295268
28,294803
28,294116
30,293606
28,293469
28,292931
26,292004
26,291847
28,291691
20,291579
30,291172
28,291154
20,290678
27,290504
27,289678
27,289174
27,289154
29,288839
27,288511
26,288477
26,288089
27,287874
28,287796
27,287290
27,286931
23,286605
29,286523
26,286412
26,285787
26,285285
26,285279
26,285216
26,285213
26,284812
26,284541
26,284192
29,284034
25,283785
25,283151
25,282512
26,282365
27,282283
26,282043
25,281815
20,281752
29,281413
25,281038
25,280156
26,279419
26,279393
25,279264
29,278827
24,278640
24,277974
24,276990
13,276547
28,276242
29,276202
23,276146
26,275999
25,275989
24,275970
27,275003
24,274971
30,274289
24,273888
29,273788
30,273113
29,273113
24,272857
29,272421
29,272421
30,272421
30,272421
25,272364
23,272050
19,272043
26,271982
29,271887
20,271885
28,271606
23,271162
29,270400
29,270166
23,270108
28,269440
29,269191
23,269101
30,268934
25,268602
27,268008
23,267915
25,267766
29,267551
29,267428
28,267061
30,266941
23,266756
29,266194
29,266096
23,265928
23,265662
29,265083
29,264973
22,264944
29,264836
25,264689
28,264561
27,264184
22,264150
28,263496
25,263360
